,State,Postal code,Fips,Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4,DSCI,LEVEL
0,Alabama,AL,1,2000-01-04,0.0,100.0,47.98,16.35,0.0,0.0,164,1
1,Alabama,AL,1,2000-01-11,0.0,100.0,76.88,4.24,0.0,0.0,181,1
2,Alabama,AL,1,2000-01-18,0.0,100.0,75.71,4.24,0.0,0.0,180,1
3,Alabama,AL,1,2000-01-25,0.0,100.0,75.67,4.79,0.0,0.0,180,1
4,Alabama,AL,1,2000-02-01,0.0,100.0,50.07,0.17,0.0,0.0,150,1
5,Alabama,AL,1,2000-02-08,0.0,100.0,46.4,0.41,0.0,0.0,147,1
6,Alabama,AL,1,2000-02-15,0.0,100.0,46.4,0.41,0.0,0.0,147,1
7,Alabama,AL,1,2000-02-22,0.0,100.0,54.08,0.49,0.0,0.0,155,1
8,Alabama,AL,1,2000-02-29,0.0,100.0,57.16,10.52,0.0,0.0,168,1
9,Alabama,AL,1,2000-03-07,0.0,100.0,57.02,22.68,0.0,0.0,180,1
10,Alabama,AL,1,2000-03-14,0.0,100.0,63.97,21.22,0.0,0.0,185,1
11,Alabama,AL,1,2000-03-21,0.0,100.0,60.86,21.29,0.0,0.0,182,1
12,Alabama,AL,1,2000-03-28,0.0,100.0,51.94,6.4,0.0,0.0,158,1
13,Alabama,AL,1,2000-04-04,0.0,100.0,41.15,8.43,0.0,0.0,150,1
14,Alabama,AL,1,2000-04-11,34.99,65.01,42.58,8.43,0.0,0.0,116,1
15,Alabama,AL,1,2000-04-18,32.11,67.89,45.19,9.41,0.0,0.0,122,1
16,Alabama,AL,1,2000-04-25,38.7,61.3,35.82,11.52,0.0,0.0,109,1
17,Alabama,AL,1,2000-05-02,38.7,61.3,42.69,18.69,0.0,0.0,123,1
18,Alabama,AL,1,2000-05-09,26.8,73.2,55.24,36.76,0.0,0.0,165,1
19,Alabama,AL,1,2000-05-16,17.29,82.71,63.48,41.01,13.69,0.0,201,2
20,Alabama,AL,1,2000-05-23,0.0,100.0,63.48,41.01,13.69,0.0,218,2
21,Alabama,AL,1,2000-05-30,0.0,100.0,96.29,42.96,15.18,0.0,254,2
22,Alabama,AL,1,2000-06-06,0.0,100.0,97.84,42.96,15.18,0.0,256,2
23,Alabama,AL,1,2000-06-13,0.0,100.0,100.0,68.03,40.35,3.85,312,3
24,Alabama,AL,1,2000-06-20,0.0,100.0,100.0,68.03,40.35,3.91,312,3
25,Alabama,AL,1,2000-06-27,0.0,100.0,99.51,65.21,37.47,3.91,306,3
26,Alabama,AL,1,2000-07-04,0.0,100.0,91.79,63.64,37.14,14.82,307,3
27,Alabama,AL,1,2000-07-11,0.0,100.0,100.0,89.26,47.75,23.43,360,3
28,Alabama,AL,1,2000-07-18,0.0,100.0,100.0,96.15,81.39,44.06,422,4
29,Alabama,AL,1,2000-07-25,0.0,100.0,100.0,97.14,90.87,63.46,451,4
30,Alabama,AL,1,2000-08-01,0.0,100.0,100.0,97.38,90.88,62.57,451,4
31,Alabama,AL,1,2000-08-08,0.0,100.0,100.0,97.38,91.04,58.85,447,4
32,Alabama,AL,1,2000-08-15,0.0,100.0,100.0,96.5,89.49,59.15,445,4
33,Alabama,AL,1,2000-08-22,0.0,100.0,100.0,99.03,93.45,74.75,467,4
34,Alabama,AL,1,2000-08-29,0.0,100.0,100.0,99.75,96.43,77.9,474,4
35,Alabama,AL,1,2000-09-05,0.0,100.0,100.0,100.0,98.47,77.7,476,4
36,Alabama,AL,1,2000-09-12,0.0,100.0,100.0,100.0,99.98,68.54,469,4
37,Alabama,AL,1,2000-09-19,0.0,100.0,100.0,100.0,98.26,70.82,469,4
38,Alabama,AL,1,2000-09-26,0.0,100.0,100.0,99.05,81.77,31.62,412,4
39,Alabama,AL,1,2000-10-03,0.0,100.0,100.0,99.05,81.77,31.62,412,4
40,Alabama,AL,1,2000-10-10,0.0,100.0,100.0,99.05,82.94,26.65,409,4
41,Alabama,AL,1,2000-10-17,0.0,100.0,100.0,99.7,95.1,49.53,444,4
42,Alabama,AL,1,2000-10-24,0.0,100.0,100.0,99.63,98.78,57.13,456,4
43,Alabama,AL,1,2000-10-31,0.0,100.0,100.0,100.0,100.0,65.47,465,4
44,Alabama,AL,1,2000-11-07,0.0,100.0,100.0,100.0,91.82,20.99,413,4
45,Alabama,AL,1,2000-11-14,0.0,100.0,100.0,100.0,67.95,16.88,385,3
46,Alabama,AL,1,2000-11-21,0.0,100.0,100.0,100.0,37.18,0.0,337,3
47,Alabama,AL,1,2000-11-28,0.0,100.0,100.0,100.0,0.0,0.0,300,3
48,Alabama,AL,1,2000-12-05,0.0,100.0,100.0,100.0,0.0,0.0,300,3
49,Alabama,AL,1,2000-12-12,0.0,100.0,100.0,100.0,0.0,0.0,300,3
50,Alabama,AL,1,2000-12-19,0.0,100.0,100.0,80.99,0.0,0.0,281,2
51,Alabama,AL,1,2000-12-26,0.0,100.0,99.8,74.11,0.0,0.0,274,2
52,Alabama,AL,1,2001-01-02,0.0,100.0,99.72,44.19,0.0,0.0,244,2
53,Alabama,AL,1,2001-01-09,0.0,100.0,100.0,47.09,0.0,0.0,247,2
54,Alabama,AL,1,2001-01-16,0.0,100.0,100.0,47.09,0.0,0.0,247,2
55,Alabama,AL,1,2001-01-23,0.0,100.0,68.59,17.55,0.0,0.0,186,1
56,Alabama,AL,1,2001-01-30,4.77,95.23,56.25,14.36,0.0,0.0,166,1
57,Alabama,AL,1,2001-02-06,4.77,95.23,56.25,14.36,0.0,0.0,166,1
58,Alabama,AL,1,2001-02-13,12.24,87.76,39.88,7.25,0.0,0.0,135,1
59,Alabama,AL,1,2001-02-20,24.7,75.3,50.14,7.28,0.0,0.0,133,1
60,Alabama,AL,1,2001-02-27,26.33,73.67,50.14,5.21,0.0,0.0,129,1
61,Alabama,AL,1,2001-03-06,62.24,37.76,8.9,0.0,0.0,0.0,47,0
62,Alabama,AL,1,2001-03-13,60.49,39.51,10.55,0.0,0.0,0.0,50,0
63,Alabama,AL,1,2001-03-20,81.6,18.4,4.83,0.0,0.0,0.0,23,0
64,Alabama,AL,1,2001-03-27,81.76,18.24,3.57,0.0,0.0,0.0,22,0
65,Alabama,AL,1,2001-04-03,85.12,14.88,0.0,0.0,0.0,0.0,15,0
66,Alabama,AL,1,2001-04-10,98.35,1.65,0.0,0.0,0.0,0.0,2,0
67,Alabama,AL,1,2001-04-17,97.05,2.95,0.0,0.0,0.0,0.0,3,0
68,Alabama,AL,1,2001-04-24,96.64,3.36,0.0,0.0,0.0,0.0,3,0
69,Alabama,AL,1,2001-05-01,95.59,4.41,0.0,0.0,0.0,0.0,4,0
70,Alabama,AL,1,2001-05-08,41.3,58.7,0.34,0.0,0.0,0.0,59,0
71,Alabama,AL,1,2001-05-15,41.3,58.7,0.58,0.0,0.0,0.0,59,0
72,Alabama,AL,1,2001-05-22,43.39,56.61,0.58,0.0,0.0,0.0,57,0
73,Alabama,AL,1,2001-05-29,43.39,56.61,9.95,0.0,0.0,0.0,67,0
74,Alabama,AL,1,2001-06-05,76.33,23.67,4.52,0.0,0.0,0.0,28,0
75,Alabama,AL,1,2001-06-12,100.0,0.0,0.0,0.0,0.0,0.0,0,0
76,Alabama,AL,1,2001-06-19,99.81,0.19,0.0,0.0,0.0,0.0,0,0
77,Alabama,AL,1,2001-06-26,99.81,0.19,0.0,0.0,0.0,0.0,0,0
78,Alabama,AL,1,2001-07-03,99.81,0.19,0.0,0.0,0.0,0.0,0,0
79,Alabama,AL,1,2001-07-10,99.99,0.01,0.0,0.0,0.0,0.0,0,0
80,Alabama,AL,1,2001-07-17,99.99,0.01,0.0,0.0,0.0,0.0,0,0
81,Alabama,AL,1,2001-07-24,99.84,0.16,0.0,0.0,0.0,0.0,0,0
82,Alabama,AL,1,2001-07-31,100.0,0.0,0.0,0.0,0.0,0.0,0,0
83,Alabama,AL,1,2001-08-07,100.0,0.0,0.0,0.0,0.0,0.0,0,0
84,Alabama,AL,1,2001-08-14,100.0,0.0,0.0,0.0,0.0,0.0,0,0
85,Alabama,AL,1,2001-08-21,100.0,0.0,0.0,0.0,0.0,0.0,0,0
86,Alabama,AL,1,2001-08-28,98.13,1.87,0.0,0.0,0.0,0.0,2,0
87,Alabama,AL,1,2001-09-04,100.0,0.0,0.0,0.0,0.0,0.0,0,0
88,Alabama,AL,1,2001-09-11,100.0,0.0,0.0,0.0,0.0,0.0,0,0
89,Alabama,AL,1,2001-09-18,100.0,0.0,0.0,0.0,0.0,0.0,0,0
90,Alabama,AL,1,2001-09-25,100.0,0.0,0.0,0.0,0.0,0.0,0,0
91,Alabama,AL,1,2001-10-02,96.02,3.98,0.0,0.0,0.0,0.0,4,0
92,Alabama,AL,1,2001-10-09,93.2,6.8,0.0,0.0,0.0,0.0,7,0
93,Alabama,AL,1,2001-10-16,92.78,7.22,0.0,0.0,0.0,0.0,7,0
94,Alabama,AL,1,2001-10-23,92.82,7.18,0.0,0.0,0.0,0.0,7,0
95,Alabama,AL,1,2001-10-30,80.03,19.97,0.0,0.0,0.0,0.0,20,0
96,Alabama,AL,1,2001-11-06,58.51,41.49,0.1,0.0,0.0,0.0,42,0
97,Alabama,AL,1,2001-11-13,56.37,43.63,7.74,0.0,0.0,0.0,51,0
98,Alabama,AL,1,2001-11-20,56.37,43.63,7.83,0.0,0.0,0.0,51,0
