,State,Aland,Awater,Aland_SQMI,Awater_SQMI
0,Alabama,131171000.0,4597000.0,31400.104600000002,1100.3388
1,Alaska,1477953000.0,245384000.0,353797.38899999997,58740.722
2,Arizona,294207000.0,1026000.0,70428.3296,245.65640000000002
3,Arkansas,134771000.0,2961000.0,32261.997600000002,708.7034
4,California,403466000.0,20501000.0,96583.1164,4907.6224
5,Colorado,268431000.0,1170000.0,64257.9718,280.1036
6,Connecticut,12542000.0,1816000.0,3002.2632,434.6572
7,Delaware,5047000.0,1399000.0,1208.0948,334.91159999999996
8,District of Columbia,158000.0,19000.0,37.851,4.5198
9,Florida,138887000.0,31424000.0,33247.351200000005,7522.4228
10,Georgia,148959000.0,4951000.0,35658.3638,1185.2292
11,Hawaii,16635000.0,11678000.0,3982.0306,2795.6358
12,Idaho,214045000.0,2398000.0,51238.734399999994,574.0146
13,Illinois,143793000.0,6202000.0,34421.7366,1484.6644
14,Indiana,92789000.0,1537000.0,22212.1882,367.93280000000004
15,Iowa,144669000.0,1077000.0,34631.4206,257.7216
16,Kansas,211754000.0,1346000.0,50690.4064,322.1768
17,Kentucky,102269000.0,2387000.0,24481.530799999997,571.3052
18,Louisiana,111898000.0,23761000.0,26786.418,5688.022599999999
19,Maine,79883000.0,11750000.0,19122.610399999998,2812.8284
20,Maryland,25142000.0,6990000.0,6018.4888,1673.1878
21,Massachusetts,20202000.0,7134000.0,4836.037200000001,1707.6846
22,Michigan,146435000.0,104052000.0,35054.118,24908.2582
23,Minnesota,206232000.0,18930000.0,49368.5788,4531.6358
24,Mississippi,121531000.0,3907000.0,29092.427399999997,935.2762
25,Missouri,178040000.0,2501000.0,42619.7424,598.5914
26,Montana,376962000.0,3869000.0,90238.396,926.2242
27,Nebraska,198974000.0,1356000.0,47630.9854,324.6568
28,Nevada,284332000.0,2048000.0,68064.33159999999,490.203
29,New Hampshire,23187000.0,1027000.0,5550.643,245.8362
30,New Jersey,19047000.0,3544000.0,4559.6164,848.3832
31,New Mexico,314161000.0,757000.0,75204.853,181.13299999999998
32,New York,122057000.0,19240000.0,29218.368000000002,4605.7196
33,North Carolina,125920000.0,13471000.0,30143.1042,3224.775
34,Northern Mariana Islands,472000.0,4644000.0,113.0446,1111.8088
35,Ohio,105829000.0,10269000.0,25333.627800000002,2458.2318
36,Oklahoma,177660000.0,3377000.0,42528.850399999996,808.4490000000001
37,Oregon,248608000.0,6191000.0,59512.566199999994,1482.1286
38,Pennsylvania,115883000.0,3397000.0,27740.474,813.2168
39,Puerto Rico,8868000.0,4924000.0,2122.7436000000002,1178.6634
40,Rhode Island,2678000.0,1324000.0,640.9621999999999,316.8634
41,South Carolina,77857000.0,5076000.0,18637.634000000002,1215.0698
42,South Dakota,196350000.0,3379000.0,47002.82,808.9016
43,Tennessee,106798000.0,2355000.0,25565.638,563.8032000000001
44,Texas,676587000.0,19075000.0,161963.66019999998,4566.1449999999995
45,Utah,212818000.0,7064000.0,50945.164399999994,1690.9012
46,Vermont,23871000.0,1035000.0,5714.3292,247.82019999999997
47,Virginia,102279000.0,8508000.0,24483.855799999998,2036.6008000000002
48,Washington,172119000.0,12542000.0,41202.4224,3002.3066000000003
49,West Virginia,62259000.0,497000.0,14903.6902,118.9346
50,Wisconsin,140268000.0,29367000.0,33577.836,7029.9133999999995
51,Wyoming,251470000.0,1864000.0,60197.7468,446.3194
